student_id,gender,age,previous_grade,study_hours,attendance,participation,assignment_scores,quiz_scores,internal_marks,sleep_hours,exercise_hours,parental_education,family_support,internet_access,extracurricular,part_time_job,final_score
S0001,Male,24,C,3.94,87.31,80.26,72.44,74.23,36.31,9.02,3.27,High School,Medium,Yes,Yes,Yes,50.54
S0002,Female,22,D,2.24,72.88,48.27,54.74,61.33,35.57,6.21,0.79,Bachelor,Medium,Yes,Yes,No,21.6
S0003,Male,22,C,2.87,69.86,72.14,91.33,48.23,32.84,9.85,0.7,Bachelor,Low,Yes,Yes,Yes,43.29
S0004,Male,24,B,2.32,92.89,50.43,78.39,91.78,26.31,10.0,0.53,Bachelor,High,Yes,No,Yes,54.69
S0005,Male,18,B,6.77,83.52,37.15,92.3,68.61,45.66,9.04,0.25,Master,Medium,Yes,No,No,68.57
S0006,Female,20,A,0.78,89.48,39.59,84.09,88.44,40.93,6.89,0.22,Bachelor,Low,Yes,Yes,No,53.22
S0007,Male,19,D,3.55,91.43,68.31,88.86,53.75,40.5,7.37,,Bachelor,High,Yes,No,Yes,38.34
S0008,Male,18,C,6.91,61.18,76.29,41.99,88.02,43.66,5.09,0.18,Master,Medium,Yes,No,No,44.33
S0009,Male,19,B,2.17,89.75,71.95,,75.27,35.1,6.32,0.41,Bachelor,Medium,Yes,No,No,49.6
S0010,Female,24,C,8.46,80.39,51.72,96.5,67.08,38.0,7.93,0.55,Master,Medium,Yes,No,No,66.2
S0011,Male,23,C,2.31,93.93,42.72,70.13,79.57,29.45,4.86,4.89,Bachelor,High,Yes,No,Yes,32.82
S0012,Male,19,B,8.67,71.85,43.4,80.57,62.37,30.84,6.55,1.3,Bachelor,Low,No,Yes,No,59.24
S0013,Male,20,A,,99.5,70.94,71.56,89.68,39.17,9.92,5.0,Master,Medium,Yes,Yes,No,79.87
S0014,Male,23,C,2.66,80.05,90.02,94.4,79.33,42.7,6.77,0.7,High School,Medium,No,Yes,Yes,39.45
S0015,Female,19,C,1.35,71.93,81.94,70.64,63.31,30.73,8.55,0.92,Bachelor,Low,No,Yes,No,14.27
S0016,Male,24,C,1.72,87.09,79.21,74.68,71.02,49.6,7.85,0.59,High School,High,Yes,Yes,No,45.61
S0017,Female,23,C,3.24,73.55,66.12,85.6,74.27,47.67,6.54,0.3,Bachelor,Medium,No,No,No,52.53
S0018,Female,24,D,3.98,61.13,,78.05,69.51,34.02,6.77,,High School,Medium,Yes,No,No,37.59
S0019,Female,19,C,6.58,92.38,38.0,58.32,92.38,42.89,7.25,4.35,Bachelor,Low,Yes,No,No,66.78
S0020,Male,24,C,2.81,87.63,70.14,85.48,88.54,39.14,4.0,5.0,Master,High,Yes,Yes,No,61.23
S0021,Female,20,D,4.42,73.78,79.96,51.34,92.04,31.9,8.42,0.07,Master,High,Yes,Yes,No,45.82
S0022,Male,19,B,,95.13,39.56,93.37,77.15,32.92,6.82,,Bachelor,Medium,Yes,Yes,No,61.56
S0023,Female,19,A,4.77,88.7,62.43,97.22,70.71,41.45,8.47,0.83,PhD,Medium,Yes,Yes,No,89.62
S0024,Female,19,A,1.94,66.17,60.95,72.39,45.49,41.52,7.58,0.31,Bachelor,Medium,Yes,Yes,Yes,36.05
S0025,Female,18,C,2.14,90.46,56.07,94.11,58.47,33.17,6.76,0.68,Bachelor,Medium,Yes,Yes,Yes,34.06
